count,source,city,state,zip code,latitude,longitude,circulation,scope
1,ksdk.com,Portland,Oregon,97207,45.5235,-122.676,no data,no data
1,kvue.com,Austin,Texas,78757,30.365429,-97.73793162,no data,no data
1,messenger-inquirer,Chicago,Illinois,60666,41.8781,-87.6298,no data,no data
1,myCentralOregon.com,Ashburn,Virginia,20149,39.0438,-77.4874,no data,no data
1,nbc12.com,no data,no data,no data,,,no data,no data
1,nbcsports.com,no data,no data,no data,,,no data,no data
1,newportri.com,Ashburn,Virginia,20147,39.018,-77.539,no data,no data
1,nfl.com,Culver City,California,90232,34.0125661,-118.4096774,no data,no data
1,oc-breeze.com,no data,no data,no data,,,no data,no data
1,ottawacitizen.com,Kansas City,Missouri,,39.0997,-94.5785,no data,no data
1,pastemagazine.com,no data,no data,no data,,,no data,no data
1,phys.org,West Lafayette,Indiana,47907,40.43010595,-86.91365115,no data,no data
1,polygon.com,San Francisco,California,94107,37.721,-122.391,no data,no data
1,pressconnects.com,Ashburn,Virginia,20147,39.018,-77.539,no data,no data
1,pri.org,Org,Minnesota,no data,43.5813534,-95.651678,no data,no data
1,providencejournal.com,Ashburn,Virginia,20147,39.018,-77.539,no data,no data
1,sanfrancisco.cbslocal.com,Ashburn,Virginia,20147,39.018,-77.539,no data,no data
1,taosnews,Newark,New Jersey,7175,40.7357,-74.1724,no data,no data
1,theFashionSpot,San Francisco,California,94110,37.7506,-122.4121,no data,no data
1,theguardian.com,San Francisco,California,94107,37.721,-122.391,no data,no data
1,thepaper24-7.com,Tempe,Arizona,85284,33.3359,-111.894,no data,no data
1,vancouversun.com,Kansas City,Missouri,,39.0997,-94.5785,no data,no data
1,virginiafirst.com,Las Vegas,Nevada,89111,36.1699,-115.14,no data,no data
1,vogue.com,Lake Charles,Louisiana,70605,30.171003,-93.260395,no data,no data
1,vtdigger.org,Org,Minnesota,no data,43.5813534,-95.651678,no data,no data
1,wbsm.com,Fairhaven,Massachusetts,2719,41.6507077,-70.9146344,no data,no data
1,wdbj7.com,Seattle,Washington,98109,47.6222,-122.337,no data,no data
1,wdef.com,Hamilton County,Tennessee,37377,35.1352388,-85.3235478,no data,no data
1,wdwnt.com,no data,no data,no data,,,no data,no data
