year_month,unique_articles
1988-11-01,3565
1988-12-01,3481
1989-01-01,4265
1989-02-01,3972
1989-03-01,4460
1989-04-01,3873
1989-05-01,4269
1989-06-01,3632
1989-07-01,3557
1989-08-01,3257
1989-09-01,2871
1989-10-01,3369
1989-11-01,3149
1989-12-01,3442
1990-01-01,3818
1990-02-01,3196
1990-03-01,3810
1990-04-01,3324
1990-05-01,3737
1990-06-01,2856
1990-07-01,2949
1990-08-01,3943
1990-09-01,3731
1990-10-01,4085
1990-11-01,3470
1990-12-01,2987
1991-01-01,3268
1991-02-01,2660
1991-03-01,2632
1991-04-01,3217
1991-05-01,3016
1991-06-01,2807
1991-07-01,2801
1991-08-01,2691
1991-09-01,2852
1991-10-01,3151
1991-11-01,3038
1991-12-01,3352
1992-01-01,3711
1992-02-01,3288
1992-03-01,3397
1992-04-01,3372
1992-05-01,3440
1992-06-01,3210
1992-07-01,3425
1992-08-01,3763
1992-09-01,4591
1992-10-01,4292
1992-11-01,3655
1992-12-01,3610
1993-01-01,3671
1993-02-01,3857
1993-03-01,4316
1993-04-01,4203
1993-05-01,4357
1993-06-01,3764
1993-07-01,4102
1993-08-01,3717
1993-09-01,3979
1993-10-01,3748
1993-11-01,3636
1993-12-01,4595
1994-01-01,5183
1994-02-01,4408
1994-03-01,4851
1994-04-01,4648
1994-05-01,5042
1994-06-01,4361
1994-07-01,4004
1994-08-01,4413
1994-09-01,4656
1994-10-01,5407
1994-11-01,4509
1994-12-01,4587
1995-01-01,6395
1995-02-01,5038
1995-03-01,5488
1995-04-01,4461
1995-05-01,4401
1995-06-01,3290
1995-07-01,3365
1995-08-01,3056
1995-09-01,3390
1995-10-01,3950
1995-11-01,3616
1995-12-01,4065
1996-01-01,3588
1996-02-01,4081
1996-03-01,3653
1996-04-01,3635
1996-05-01,5139
1996-06-01,4384
1996-07-01,4582
1996-08-01,4598
1996-09-01,5384
1996-10-01,5218
1996-11-01,4079
1996-12-01,4881
1997-01-01,5331
1997-02-01,4374
1997-03-01,4909
1997-04-01,4575
1997-05-01,4429
1997-06-01,3434
1997-07-01,3963
1997-08-01,4256
1997-09-01,4246
1997-10-01,5225
1997-11-01,3937
1997-12-01,4138
1998-01-01,5143
1998-02-01,4214
1998-03-01,4763
1998-04-01,4365
1998-05-01,4697
1998-06-01,3791
1998-07-01,4232
1998-08-01,3977
1998-09-01,5527
1998-10-01,4471
1998-11-01,3315
1998-12-01,3720
1999-01-01,4768
1999-02-01,3971
1999-03-01,4837
1999-04-01,3667
